time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange1,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
48,1800,103.6298378768672,1000,285.1100860337741,1255959.799124064,0.04999904896342602,24.98619945074068,1399.134081178521,800,283.9489411093025,1133593.768306738,0.04996426158145725,24.9718687192487,1295.504243301654,0.4999904896342601,0.4996426158145725,0.0004,0.0007640339464132284,0.0004145193515074688,-0.0004488196909697706,-0.01773388111507401,3.365130396559834e-11,1.182343112304807e-10,1.527951098978519e-10,-2.255411569312971e-15,1.221245327087672e-15,-1.037364638634131e-15,0,0
50.4,1800,103.6830128823437,1000,285.109318352232,1255877.5789625,0.04999897438264739,24.98616434345448,1399.063226465845,800,283.9475031073964,1133405.120911154,0.04996257908585431,24.97103134518334,1295.380213583501,0.4999897438264739,0.4996257908585431,0.0004,0.0007630417086680063,0.000414732051529375,-0.0004839269771643728,-0.0185712551804329,8.617462299298495e-11,-9.367795428261161e-11,2.28283170145005e-10,1.782103110914424e-15,3.882311139236094e-15,5.658667978636345e-15,0,0
52.8,1800,103.7294341767736,1000,285.1085394128668,1255794.155145077,0.04999889878294268,24.98612875850188,1398.991335916277,800,283.9461312856157,1133223.544773354,0.04996090252490148,24.97019677469612,1295.261901739504,0.4999889878294267,0.4996090252490147,0.0004,0.0007620952139160308,0.0004149177367070943,-0.0005195119297631834,-0.01940582566765059,2.182787284255028e-11,1.091393642127514e-11,2.65572452917695e-10,2.757126124630638e-16,2.133709875451473e-15,2.397387843799947e-15,0,0
55.2,1800,103.7695832745137,1000,285.1077506903739,1255709.685374546,0.04999882229771442,24.98609275838552,1398.918545765159,800,283.9448216559688,1133048.61366691,0.04995923154088335,24.96936483884616,1295.148962490646,0.4999882229771442,0.4995923154088335,0.0004,0.0007611916999251661,0.0004150783330980548,-0.0005555120461266938,-0.0202377615176097,2.569322532508522e-11,-1.236912794411182e-10,1.373336999677122e-10,-3.044439700339296e-15,-1.755540157688529e-15,-4.808653475407709e-15,0,0
57.6,1800,103.8039095807969,1000,285.1069535538601,1255624.316061202,0.04999874505081228,24.98605640113302,1398.844982480657,800,283.9435704876315,1132879.928865223,0.04995756579917226,24.96853537959162,1295.04107289986,0.4999874505081227,0.4995756579917225,0.0004,0.0007603285831988778,0.0004152156383231877,-0.000591869298631309,-0.0210672207721494,-8.594724931754172e-11,-2.710294211283326e-10,-3.565219230949879e-10,5.664956351236761e-16,5.113964807179627e-15,5.672545766444159e-15,0,0
60,1800,103.8328326096,1000,285.106149274204,1255538.183110282,0.04999866715719908,24.98601974060898,1398.770763444515,800,283.9423742893485,1132717.117258675,0.04995590498664625,24.96770824904347,1294.937930834915,0.4999866715719908,0.4995590498664625,0.0004,0.0007595034466793222,0.0004153313304384001,-0.000628529822670032,-0.02189435132029871,1.045918907038867e-11,-3.656168701127172e-10,-3.528839442878962e-10,-4.506377909718751e-15,-4.510281037539698e-17,-4.558853294867049e-15,0,0
62.4,1800,103.856743896406,1000,285.1053390304038,1255451.412600481,0.04999858872352506,24.98598282678394,1398.695997539339,800,283.9412297942667,1132559.829731365,0.04995424881032566,24.96688330882225,1294.839253642933,0.4999858872352506,0.4995424881032566,0.0004,0.0007587140291434626,0.0004154269755856239,-0.0006654436477120385,-0.02271929154152019,3.094555722782388e-10,-6.748450687155128e-10,-3.54702933691442e-10,7.980812191665798e-16,1.283695372222837e-16,9.26342336171615e-16,0,0
64.8,1800,103.8760088349161,1000,285.1045239156706,1255364.121436144,0.04999850984867923,24.98594570599272,1398.620785712469,800,283.9401339453496,1132407.739600718,0.04995259699606207,24.96606042943959,1294.744776877553,0.4999850984867923,0.4995259699606207,0.0004,0.0007579582150204223,0.0004155040353396643,-0.0007025644389280217,-0.02354217092417699,8.526512829121202e-11,-2.419255906715989e-10,-3.747118171304464e-10,-2.758752427889366e-15,7.008282842946301e-16,-2.057382042508493e-15,0,0
67.2,1800,103.8909684620235,1000,285.1037049433612,1255276.417981348,0.04999843062432612,24.98590842118579,1398.545221524745,800,283.9390838812008,1132260.541100465,0.04995094928726438,24.96523948969705,1294.654253062721,0.4999843062432612,0.4995094928726438,0.0004,0.0007572340245017712,0.0004155638738480939,-0.0007398492458534633,-0.02436311066671948,2.987690095324069e-10,-4.05634636990726e-10,-9.276845958083868e-11,-5.64706701539075e-15,2.425143419415576e-15,-3.223116218364908e-15,0,0
69.59999999999999,1800,103.9019410269627,1000,285.1028830521859,1255188.402617033,0.04999835113537685,24.98587101215001,1398.469391632679,800,283.9380769235934,1132117.948046941,0.04994930544377866,24.96442037615751,1294.567450605716,0.4999835113537685,0.4994930544377866,0.0004,0.0007565396048457296,0.0004156077641078509,-0.0007772582816407692,-0.02518222420626515,1.866737875388935e-10,-4.401954356580973e-10,-2.437445800751448e-10,-2.650657471292561e-15,1.738192922928761e-15,-9.124645483638005e-16,0,0
72,1800,103.9092234932834,1000,285.1020591111995,1255100.168274746,0.04999827146044081,24.98583351572008,1398.393376250253,800,283.9371105655308,1131979.692561303,0.0499476652408148,24.96360298263877,1294.484152756969,0.4999827146044081,0.499476652408148,0.0004,0.000755873222055754,0.0004156368939731337,-0.0008147547115662235,-0.02599961772499881,2.021351974690333e-10,9.094947017729282e-13,-1.637090463191271e-11,-5.81381730951902e-15,1.214306433183765e-15,-4.600486658290492e-15,0,0
