time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
703.2,1800,100.4627264732624,1000,285.023630353556,1246680.428313268,0.04998980496325495,24.98182232657567,1391.174293426576,800,283.8932864108609,1118092.97065946,0.04953516826430288,24.75754868013377,1290.711566953313,0.4998980496325495,0.4953516826430288,0.0004,0.0007256925356265055,0.0004018509058930494,-0.2320539202300012,5.147740012034774e-10,1.098669599741697e-09,1.629814505577087e-09,-2.993265357797981e-15,1.06581410364015e-14,7.771561172376096e-15,0,0
705.6,1800,100.4604608821417,1000,285.0235878141918,1246675.749700562,0.04998979585845376,24.98181789529841,1391.170386746299,800,283.8932673226607,1118055.923646295,0.04953361308143165,24.75677146511196,1290.709925864157,0.4998979585845376,0.4953361308143165,0.0004,0.0007256794069132593,0.0004018418435285666,-0.2328311352518142,3.601599019020796e-10,6.111804395914078e-10,7.530616130679846e-10,-4.187622471008012e-15,1.157407503171726e-14,7.494005416219807e-15,0,0
708,1800,100.4582224901494,1000,285.0235457856537,1246671.125696512,0.04998978679976385,24.9818134856389,1391.166526988129,800,283.893248463846,1118018.901023667,0.04953205791907723,24.75599425978998,1290.708304497979,0.4998978679976385,0.4953205791907723,0.0004,0.000725666435983836,0.0004018328899605976,-0.2336083405737952,6.530171958729625e-10,8.585629984736443e-10,1.287844497710466e-09,-1.081600087271539e-15,8.965050923848139e-15,8.021361352916756e-15,0,0
710.4,1800,100.4560109714232,1000,285.0235042618182,1246666.555646511,0.04998977778663245,24.98180909733801,1391.162713589417,800,283.8932298316628,1117981.902498193,0.04953050277699282,24.75521706405116,1290.706702617994,0.4998977778663245,0.4953050277699282,0.0004,0.0007256536209439509,0.0004018240438856928,-0.2343855363126082,4.638422979041934e-10,8.039933163672686e-10,1.2732925824821e-09,-3.518886571018953e-15,1.351696532481128e-14,1.010302952408892e-14,0,0
712.8,1800,100.4538260041654,1000,285.0234632366437,1246662.038904617,0.04998976881851407,24.98180473014003,1391.158945994935,800,283.8932114233975,1117944.927780387,0.04952894765493493,24.75443987778038,1290.70511999077,0.4998976881851407,0.4952894765493493,0.0004,0.0007256409599261587,0.0004018153040166616,-0.235162722583393,7.8580342233181e-10,7.60337570682168e-10,1.557054929435253e-09,-5.342080944270577e-15,9.797718192317006e-15,4.6074255521944e-15,0,0
715.2,1800,100.4516672700968,1000,285.0234227041514,1246657.57483171,0.04998975989486906,24.98180038379197,1391.155223655311,800,283.8931932363622,1117907.976583831,0.04952739255266263,24.75366270086373,1290.703556385214,0.4998975989486905,0.4952739255266262,0.0004,0.0007256284510817112,0.0004018066690803871,-0.235939899500039,5.566107574850321e-10,1.004082150757313e-09,1.575244823470712e-09,-4.582272061792736e-15,1.249000902703301e-14,8.021361352916756e-15,0,0
717.6,1800,100.4495344524996,1000,285.0233826583917,1246653.162791747,0.04998975101516031,24.98179605804202,1391.151546023846,800,283.893175267883,1117871.048623494,0.04952583746993613,24.75288553318786,1290.702011571347,0.4998975101516031,0.4952583746993613,0.0004,0.0007256160925707736,0.0004017981378099985,-0.2367170671759133,4.383764462545514e-10,6.293703336268663e-10,1.080479705706239e-09,-1.393850312947365e-15,7.799316747991725e-15,6.578071420904053e-15,0,0
720,1800,100.4474272416717,1000,285.0233430935475,1246648.802162772,0.04998974217886263,24.98179175264399,1391.147912565999,800,283.8931575153451,1117834.143620679,0.04952428240652101,24.75210837464194,1290.700485324327,0.4998974217886263,0.4952428240652101,0.0004,0.0007256038825946161,0.0004017897089666867,-0.2374942257218358,3.67435859516263e-10,9.167706593871117e-10,1.06228981167078e-09,1.35308431126191e-16,9.686695889854491e-15,9.96425164601078e-15,0,0
722.4,1800,100.4453453302872,1000,285.023304003847,1246644.492327866,0.04998973338545506,24.98178746735363,1391.144322751428,800,283.8931399761553,1117797.261298955,0.04952272736218471,24.75133122511602,1290.698977421141,0.4998973338545505,0.495227273621847,0.0004,0.0007255918193691268,0.0004017813813211487,-0.2382713752477486,3.601599019020796e-10,1.022272044792771e-09,1.389707904309034e-09,-7.119305145408816e-15,9.076073226310655e-15,2.137179322403426e-15,0,0
724.8,1800,100.4432884147743,1000,285.0232653835876,1246640.232677339,0.04998972463442277,24.98178320192963,1391.140776056143,800,283.8931226477506,1117760.401385139,0.04952117233669749,24.75055408450148,1290.697487641369,0.4998972463442277,0.4952117233669749,0.0004,0.00072557990113095,0.0004017731536590972,-0.2390485158622901,5.456968210637569e-10,9.895302355289459e-10,1.54977897182107e-09,-3.723583941184216e-15,8.132383655379272e-15,4.496403249731884e-15,0,0
727.2,1800,100.4412561952756,1000,285.0232272271385,1246636.022609136,0.04998971592525737,24.98177895613363,1391.137271962682,800,283.8931055276001,1117723.563609487,0.04951961732983236,24.74977695269104,1290.696015767406,0.4998971592525737,0.4951961732983236,0.0004,0.000725568126139251,0.0004017650247811025,-0.2398256476727276,4.511093720793724e-10,6.439222488552332e-10,8.767528925091028e-10,-6.050715484207103e-15,1.282307593442056e-14,6.938893903907228e-15,0,0
729.6,1800,100.4392483760444,1000,285.0231895289425,1246631.861529329,0.04998970725745736,24.98177472973052,1391.133809960524,800,283.8930886132068,1117686.747705919,0.04951806234136559,24.74899982957889,1290.694561584479,0.4998970725745736,0.4951806234136559,0.0004,0.0007255564926758343,0.0004017569935041774,-0.2406027707848857,4.05634636990726e-10,1.04046193882823e-09,1.225998857989907e-09,-2.464174697625054e-15,1.590394482775537e-14,1.357247647604254e-14,0,0
732,1800,100.4372646638253,1000,285.0231522834934,1246627.748849135,0.04998969863052551,24.98177052248722,1391.13038954366,800,283.8930719020966,1117649.953410653,0.0495165073710752,24.7482227150601,1290.693124879835,0.4998969863052551,0.495165073710752,0.0004,0.0007255449990386787,0.0004017490586553012,-0.2413798853036688,3.110471880063415e-10,1.113221514970064e-09,1.437001628801227e-09,-4.428749034168789e-15,1.504352198367087e-14,1.071365218763276e-14,0,0
734.4,1800,100.4353047691911,1000,285.0231154853537,1246623.683987346,0.04998969004397106,24.98176633417366,1391.127010212484,800,283.893055391825,1117613.180463317,0.04951495241874221,24.74744560903115,1290.691705443293,0.4998969004397106,0.4951495241874221,0.0004,0.0007255336435463468,0.0004017412190767645,-0.2421569913326245,5.220499588176608e-10,8.585629984736443e-10,1.618900569155812e-09,1.519617764955683e-15,8.271161533457416e-15,9.908740494779522e-15,0,0
736.8,1800,100.4333684060589,1000,285.0230791291503,1246619.666369492,0.04998968149730889,24.98176216456241,1391.12367147332,800,283.8930390799782,1117576.428606574,0.04951339748415015,24.74666851138969,1290.690303067261,0.4998968149730889,0.4951339748415015,0.0004,0.0007255224245380905,0.0004017334736242355,-0.2429340889740779,4.638422979041934e-10,5.20230969414115e-10,1.004082150757313e-09,-2.955101441326491e-15,1.063038546078587e-14,7.827072323607354e-15,0,0
739.2,1800,100.4314552919748,1000,285.0230432095769,1246615.695428382,0.04998967299006007,24.98175801342894,1391.120372838626,800,283.8930229641712,1117539.697586354,0.04951184256708529,24.74589142203468,1290.688917546652,0.4998967299006007,0.4951184256708528,0.0004,0.000725511340373212,0.0004017258211678991,-0.243711178329086,5.256879376247525e-10,9.276845958083868e-10,1.233274815604091e-09,-7.05772246201164e-15,5.495603971894525e-15,-1.387778780781446e-15,0,0
741.6,1800,100.4295651481902,1000,285.0230077213993,1246611.770604319,0.04998966452175202,24.98175388055171,1391.117113827408,800,283.8930070420523,1117502.987151951,0.04951028766733676,24.74511434086644,1290.687548679217,0.4998966452175202,0.4951028766733676,0.0004,0.0007255003894337387,0.000401718260592761,-0.2444882594973343,3.456079866737127e-10,7.821654435247183e-10,9.167706593871117e-10,-4.320328816920238e-15,8.965050923848139e-15,4.801714581503802e-15,0,0
