time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
938.4,2500,137.6609971360006,1400,285.77230305451,1321322.066084797,0.04985053266334707,24.91005387446068,1461.443541383392,1100,284.2736786821304,1152876.962527291,0.04933436996414976,24.65625863203935,1323.782544247391,0.4985053266334707,0.4933436996414975,0.0004,0.0009902603539791307,0.0005506439885440023,-0.3333439683244244,-1.127773430198431e-09,2.024535206146538e-09,1.076841726899147e-09,-1.568190022283034e-15,-2.459143999544722e-14,-2.653433028854124e-14,0,0
940.8,2500,137.6988446375994,1400,285.7729860170932,1321374.24318908,0.04984981287188937,24.90969214684213,1461.509042177487,1100,284.2739932416465,1152860.215404745,0.04933226024222202,24.65520346877804,1323.810197539888,0.4984981287188937,0.4933226024222202,0.0004,0.0009904815803191032,0.0005507953785503978,-0.3343991315857302,-1.113221514970064e-09,2.015440259128809e-09,1.091393642127514e-09,3.524958103184872e-15,-2.559064071760986e-14,-2.23709939461969e-14,0,0
943.2,2500,137.7362222261827,1400,285.7736604428787,1321425.507290239,0.04984909230646703,24.90933005814768,1461.573726767502,1100,284.2743038563847,1152843.049667189,0.04933015016714177,24.65414813898086,1323.83750454132,0.4984909230646703,0.4933015016714177,0.0004,0.0009907000363305579,0.0005509448889047307,-0.3354544613829091,-1.375155989080667e-09,1.977241481654346e-09,5.384208634495735e-10,-3.608224830031759e-16,-2.570166302007237e-14,-2.631228568361621e-14,0,0
945.6,2500,137.7731355750636,1400,285.7743264377713,1321475.869725219,0.04984837097668405,24.9089676128612,1461.637605215924,1100,284.274610576485,1152825.470651918,0.0493280397434095,24.65309264477083,1323.864469640861,0.4984837097668405,0.493280397434095,0.0004,0.0009909157571268861,0.0005510925423002545,-0.3365099555929447,-8.585629984736443e-10,1.808075467124581e-09,9.022187441587448e-10,2.997602166487923e-15,-2.886579864025407e-14,-2.620126338115369e-14,0,0
948,2500,137.8095903003602,1400,285.7749841063985,1321525.341694212,0.04984764889202864,24.90860481541243,1461.70068746549,1100,284.2749134513694,1152807.483619619,0.04932592897546124,24.65203698824052,1323.89109716513,0.4984764889202864,0.4932592897546124,0.0004,0.0009911287773210387,0.0005512383612014409,-0.3375656121232531,-1.076841726899147e-09,1.966327545233071e-09,5.966285243630409e-10,3.136380044566067e-15,-1.915134717478395e-14,-1.63202784619898e-14,0,0
950.4,2500,137.8455919564383,1400,285.7756335521214,1321573.934261628,0.04984692606187421,24.90824167017742,1461.762983340031,1100,284.2752125298034,1152789.093761091,0.04932381786767409,24.65098117145468,1323.917391383592,0.4984692606187421,0.4932381786767409,0.0004,0.0009913391310687385,0.0005513823678257531,-0.3386214289090894,-1.280568540096283e-09,1.59343471750617e-09,5.093170329928398e-10,-3.747002708109903e-16,-2.964295475749168e-14,-3.030908857226677e-14,0,0
952.8,2500,137.8811460397728,1400,285.7762748770489,1321621.65835787,0.04984620249548079,24.90787818147921,1461.824502545986,1100,284.2755078598709,1152770.306194202,0.04932170642436386,24.64992519644914,1323.943356506213,0.4984620249548078,0.4932170642436385,0.0004,0.0009915468520497034,0.0005515245841590913,-0.3396774039146351,-1.193257048726082e-09,2.08092387765646e-09,8.440110832452774e-10,3.178013407989511e-15,-2.614575222992244e-14,-2.325917236589703e-14,0,0
955.2,2500,137.9162579878528,1400,285.7769081820522,1321668.524780679,0.04984547820199619,24.90751435358836,1461.885254673551,1100,284.2757994889974,1152751.125966831,0.04931959464978718,24.64886906523182,1323.968996685698,0.4984547820199619,0.4931959464978717,0.0004,0.0009917519734855868,0.000551665031951411,-0.3407335351319496,-1.477019395679235e-09,1.980879460461438e-09,4.365574568510056e-10,3.552713678800501e-15,-2.486899575160351e-14,-2.159383782895929e-14,0,0
957.6,2500,137.9509331779448,1400,285.7775335667775,1321714.544196519,0.04984475319045713,24.9071501907235,1461.945249197844,1100,284.2760874639799,1152731.558059647,0.04931748254814421,24.64781277978398,1323.994316019899,0.4984475319045713,0.4931748254814421,0.0004,0.0009919545281591908,0.0005518037327117791,-0.3417898205797947,-1.440639607608318e-09,2.073647920042276e-09,5.966285243630409e-10,2.17881268582687e-15,-1.898481372109018e-14,-1.715294573045867e-14,0,0
960,2500,137.9851769303739,1400,285.7781511296574,1321759.727142031,0.04984402746979045,24.90678569705193,1462.004495480127,1100,284.2763718309621,1152711.607383694,0.0493153701235764,24.64675634205914,1324.019318549753,0.4984402746979045,0.493153701235764,0.0004,0.0009921545483980243,0.0005519407077214955,-0.3428462583046326,-1.098669599741697e-09,2.066371962428093e-09,9.313225746154785e-10,2.747801985947262e-15,-2.203792703880936e-14,-1.959543638463401e-14,0,0
962.4,2500,138.0189945051632,1400,285.7787609679282,1321804.084025516,0.04984330104881446,24.90642087669017,1462.063002769059,1100,284.2766526354877,1152691.278785983,0.04931325738017125,24.6456997539854,1324.044008263895,0.4984330104881446,0.4931325738017125,0.0004,0.0009923520661111634,0.0005520759780206526,-0.3439028463783664,-1.200533006340265e-09,1.838998286984861e-09,5.820766091346741e-10,-1.387778780781446e-16,-2.403632848313464e-14,-2.459143999544722e-14,0,0
964.8,2500,138.0523911050198,1400,285.7793631776389,1321847.625128222,0.04984257393624002,24.90605573370448,1462.120780201868,1100,284.2769299224792,1152670.577047364,0.04931114432196064,24.64464301746455,1324.068389096849,0.4984257393624001,0.4931114432196064,0.0004,0.0009925471127747896,0.0005522095644200789,-0.344959582899218,-1.200533006340265e-09,2.026354195550084e-09,1.004082150757313e-09,4.232725281383409e-15,-2.681188604469753e-14,-2.287059430727822e-14,0,0
967.2,2500,138.08537187552,1400,285.7799578536648,1321890.360605694,0.04984184614067148,24.9056902721114,1462.177836805339,1100,284.2772037362486,1152649.506883419,0.04930903095292123,24.64358613437242,1324.092464929819,0.4984184614067148,0.4930903095292123,0.0004,0.0009927397194385503,0.0005523414875020799,-0.3460164659913545,-1.2732925824821e-09,1.9754224922508e-09,4.220055416226387e-10,6.231126725708691e-15,-2.631228568361621e-14,-2.037259250187162e-14,0,0
969.6,2500,138.1179419034279,1400,285.7805450897257,1321932.300489476,0.04984111767060836,24.90532449587843,1462.234181497529,1100,284.2774741205344,1152628.07294869,0.04930691727697845,24.64252910656055,1324.116239594101,0.4984111767060835,0.4930691727697845,0.0004,0.0009929299167528115,0.0005524717676137115,-0.3470734938032223,-1.309672370553017e-09,1.780790626071393e-09,4.220055416226387e-10,2.42861286636753e-15,-2.298161660974074e-14,-2.098321516541546e-14,0,0
972,2500,138.1501062181576,1400,285.7811249783919,1321973.454688319,0.04984038853444622,24.9049584089245,1462.289823088465,1100,284.2777411184946,1152606.279835602,0.04930480329800527,24.64147193585579,1324.139716870307,0.4984038853444621,0.4930480329800527,0.0004,0.0009931177349624559,0.0005526004248726303,-0.3481306645079769,-1.280568540096283e-09,1.955413608811796e-09,6.548361852765083e-10,1.720845688168993e-15,-2.55351295663786e-14,-2.40918396343659e-14,0,0
